step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
75,2024-09-26 06:15:00,-0.002667349060796411,99397.97823976907,-602.0217602309306,-0.13336745303982056,-1,0,0.0
76,2024-09-26 06:20:00,-0.9378370770305764,99374.53231284331,-625.467687156695,-9.937453231284332,1,1,-23.44592692576441
77,2024-09-26 06:25:00,0.06862635863773736,99374.53231284331,-625.467687156695,3.431317931886868,1,1,0.0
78,2024-09-26 06:30:00,0.3181767536830984,99374.53231284331,-625.467687156695,15.90883768415492,1,1,0.0
79,2024-09-26 06:35:00,0.2998524249556097,99374.53231284331,-625.467687156695,15.017586273291355,1,1,0.0
80,2024-09-26 06:40:00,0.23875199295116173,99380.50111266709,-619.498887332916,-9.93805011126671,-1,0,5.968799823779044
81,2024-09-26 06:45:00,-0.6977619851365511,99380.50111266709,-619.498887332916,-34.88809925682755,-1,0,0.0
82,2024-09-26 06:50:00,-1.2940948919108448,99348.14874036932,-651.8512596306871,-9.934814874036931,1,1,-32.35237229777112
83,2024-09-26 06:55:00,-1.186641372087244,99318.48270606714,-681.5172939328681,-9.931848270606714,-1,0,-29.666034302181103
84,2024-09-26 07:00:00,-1.8988697965847303,99271.01096115253,-728.9890388474864,-9.927101096115253,1,1,-47.471744914618256
85,2024-09-26 07:05:00,-1.0077035799796148,99245.81837165303,-754.1816283469768,-9.924581837165304,-1,0,-25.19258949949037
86,2024-09-26 07:10:00,-1.0786805294678112,99218.85135841634,-781.1486415836721,-9.921885135841636,1,1,-26.96701323669528
87,2024-09-26 07:15:00,-0.6514711647799311,99202.56457929684,-797.4354207031704,-9.920256457929685,-1,0,-16.286779119498277
88,2024-09-26 07:20:00,-0.40235149631731787,99192.5057918889,-807.4942081111034,-9.91925057918889,1,1,-10.058787407932947
89,2024-09-26 07:25:00,-3.2473662072025196,99111.32163670885,-888.6783632911663,-9.911132163670885,-1,0,-81.18415518006299
90,2024-09-26 07:30:00,-0.5893731739999781,99111.32163670885,-888.6783632911663,-29.468658699998908,-1,0,0.0
91,2024-09-26 07:35:00,0.09617680367728937,99113.72605680078,-886.273943199234,-9.911372605680079,1,1,2.4044200919322343
92,2024-09-26 07:40:00,0.22858827769394105,99113.72605680078,-886.273943199234,11.429413884697052,1,1,0.0
93,2024-09-26 07:45:00,0.012497373731247638,99113.72605680078,-886.273943199234,3.426618950793289,1,1,0.0
94,2024-09-26 07:50:00,0.3886441763716215,99113.72605680078,-886.273943199234,19.432208818581074,1,1,0.0
95,2024-09-26 07:55:00,-6.068265963724382,99113.72605680078,-886.273943199234,-74.82293151391627,1,1,0.0
96,2024-09-26 08:00:00,-7.087812269913897,98936.53075005293,-1063.4692499470816,-9.893653075005293,-1,0,-177.19530674784744
97,2024-09-26 08:05:00,-0.6957250767403504,98936.53075005293,-1063.4692499470816,-34.786253837017526,-1,0,0.0
98,2024-09-26 08:10:00,-2.0362467471048453,98885.6245813753,-1114.3754186247027,-9.888562458137532,1,1,-50.90616867762113
99,2024-09-26 08:15:00,0.772139661487484,98904.92807291249,-1095.0719270875156,-9.890492807291249,-1,0,19.303491537187103
100,2024-09-26 08:20:00,0.4877625933996667,98917.12213774747,-1082.877862252524,-9.891712213774749,1,1,12.194064834991668
101,2024-09-26 08:25:00,-2.212800811475792,98861.80211746058,-1138.1978825394187,-9.886180211746058,-1,0,-55.320020286894795
102,2024-09-26 08:30:00,-3.633821926621746,98770.95656929504,-1229.0434307049625,-9.877095656929505,1,1,-90.84554816554365
103,2024-09-26 08:35:00,1.0543420475910765,98797.31512048483,-1202.6848795151855,-9.879731512048483,-1,0,26.35855118977691
104,2024-09-26 08:40:00,0.35215618534937165,98797.31512048483,-1202.6848795151855,17.607809267468582,-1,0,0.0
105,2024-09-26 08:45:00,1.4797873243907342,98834.30980359459,-1165.690196405417,-9.88343098035946,1,1,36.99468310976836
106,2024-09-26 08:50:00,-0.3751759559522811,98834.30980359459,-1165.690196405417,-18.758797797614054,1,1,0.0
107,2024-09-26 08:55:00,-0.16216715233832846,98834.30980359459,-1165.690196405417,-8.108357616916424,1,1,0.0
108,2024-09-26 09:00:00,1.2046393375193125,98834.30980359459,-1165.690196405417,60.231966875965625,1,1,0.0
109,2024-09-26 09:05:00,2.97210473653477,98908.61242200795,-1091.387577992048,-9.890861242200796,-1,0,74.30261841336925
110,2024-09-26 09:10:00,-0.9687584983192553,98884.39345954997,-1115.6065404500293,-9.888439345954998,1,1,-24.218962457981384
111,2024-09-26 09:15:00,-1.8200107784203527,98838.89319008947,-1161.1068099105382,-9.883889319008949,-1,0,-45.50026946050882
112,2024-09-26 09:20:00,-0.4992321984820374,98838.89319008947,-1161.1068099105382,-24.96160992410187,-1,0,0.0
113,2024-09-26 09:25:00,-2.4582964013469564,98777.43578005579,-1222.5642199442123,-9.87774357800558,1,1,-61.45741003367391
114,2024-09-26 09:30:00,-0.3295457737990496,98769.19713571081,-1230.8028642891884,-9.87691971357108,-1,0,-8.238644344976239
115,2024-09-26 09:35:00,-0.25860699024001865,98762.73196095481,-1237.268039045189,-9.876273196095482,1,1,-6.465174756000467
116,2024-09-26 09:40:00,-0.32154916643339265,98762.73196095481,-1237.268039045189,-16.07745832166963,1,1,0.0
117,2024-09-26 09:45:00,-0.825533655727541,98742.09361956162,-1257.9063804383775,-9.874209361956163,-1,0,-20.638341393188526
118,2024-09-26 09:50:00,-0.4100537260848289,98742.09361956162,-1257.9063804383775,-20.502686304241443,-1,0,0.0
119,2024-09-26 09:55:00,0.08594186455567528,98742.09361956162,-1257.9063804383775,4.297093227783764,-1,0,0.0
120,2024-09-26 10:00:00,1.61942560344096,98782.57925964765,-1217.4207403523535,-9.878257925964766,1,1,40.485640086024
121,2024-09-26 10:05:00,-0.719338898598419,98764.5957871827,-1235.404212817314,-9.87645957871827,-1,0,-17.983472464960474
122,2024-09-26 10:10:00,-0.3925444590642769,98764.5957871827,-1235.404212817314,-19.627222953213845,-1,0,0.0
123,2024-09-26 10:15:00,-1.0028819688608048,98739.52373796118,-1260.476262038834,-9.873952373796119,1,1,-25.072049221520125
124,2024-09-26 10:20:00,-0.04561598689616346,98738.38333828877,-1261.616661711238,-9.873838333828878,-1,0,-1.1403996724040866
125,2024-09-26 10:25:00,-2.2076217374638922,98683.19279485218,-1316.8072051478355,-9.868319279485219,1,1,-55.19054343659731
126,2024-09-26 10:30:00,-2.028579811235731,98632.47829957129,-1367.5217004287288,-9.863247829957128,-1,0,-50.71449528089328
127,2024-09-26 10:35:00,-0.4273631563109535,98632.47829957129,-1367.5217004287288,-21.368157815547676,-1,0,0.0
128,2024-09-26 10:40:00,-3.8337404448174346,98536.63478845086,-1463.3652115491645,-9.853663478845085,1,1,-95.84351112043586
129,2024-09-26 10:45:00,-0.33842549277052664,98536.63478845086,-1463.3652115491645,-16.92127463852633,1,1,0.0
130,2024-09-26 10:50:00,-1.318310908200493,98503.67701574585,-1496.3229842541768,-9.850367701574585,-1,0,-32.957772705012324
131,2024-09-26 10:55:00,-0.5149862434396041,98503.67701574585,-1496.3229842541768,-25.749312171980204,-1,0,0.0
132,2024-09-26 11:00:00,-2.024737644503178,98453.05857463328,-1546.9414253667562,-9.845305857463329,1,1,-50.61844111257945
133,2024-09-26 11:05:00,-0.17925524071535134,98453.05857463328,-1546.9414253667562,-8.962762035767568,1,1,0.0
134,2024-09-26 11:10:00,0.730199107205822,98471.31355231343,-1528.6864476866106,-9.847131355231344,-1,0,18.25497768014555
135,2024-09-26 11:15:00,0.518263755435311,98484.27014619931,-1515.7298538007278,-9.848427014619933,1,1,12.956593885882775
136,2024-09-26 11:20:00,-2.7297874271761757,98416.02546051992,-1583.9745394801323,-9.841602546051991,-1,0,-68.24468567940438
137,2024-09-26 11:25:00,-0.010562951139108634,98415.76138674143,-1584.23861325861,-9.841576138674144,1,1,-0.26407377847771585
138,2024-09-26 11:30:00,0.307200890698778,98423.4414090089,-1576.5585909911406,-9.84234414090089,-1,0,7.68002226746945
139,2024-09-26 11:35:00,-0.7617075530517509,98423.4414090089,-1576.5585909911406,-38.085377652587546,-1,0,0.0
140,2024-09-26 11:40:00,-0.6557961773830485,98423.4414090089,-1576.5585909911406,-32.789808869152424,-1,0,0.0
141,2024-09-26 11:45:00,-0.6028404895486972,98423.4414090089,-1576.5585909911406,-30.14202447743486,-1,0,0.0
142,2024-09-26 11:50:00,-1.5560428705678035,98423.4414090089,-1576.5585909911406,-77.80214352839018,-1,0,0.0
143,2024-09-26 11:55:00,-0.461625321990166,98423.4414090089,-1576.5585909911406,-23.081266099508298,-1,0,0.0
144,2024-09-26 12:00:00,-1.0441378881684216,98423.4414090089,-1576.5585909911406,-52.20689440842108,-1,0,0.0
145,2024-09-26 12:05:00,-1.63476326572301,98382.57232736582,-1617.427672634216,-9.838257232736582,1,1,-40.86908164307525
146,2024-09-26 12:10:00,-0.2673282232471392,98382.57232736582,-1617.427672634216,-13.36641116235696,1,1,0.0
147,2024-09-26 12:15:00,0.941561967351136,98406.1113765496,-1593.8886234504375,-9.84061113765496,-1,0,23.5390491837784
148,2024-09-26 12:20:00,-1.598643166690587,98366.14529738233,-1633.8547026177023,-9.836614529738233,1,1,-39.966079167264674
149,2024-09-26 12:25:00,0.2615553088983404,98366.14529738233,-1633.8547026177023,13.077765444917018,1,1,0.0
150,2024-09-26 12:30:00,-16.73973570088068,98366.14529738233,-1633.8547026177023,-123.5271920963301,1,1,0.0
151,2024-09-26 12:35:00,-5.827588640445337,98220.45558137119,-1779.5444186288357,-9.82204555813712,-1,0,-145.68971601113344
152,2024-09-26 12:40:00,1.231015494132155,98220.45558137119,-1779.5444186288357,61.55077470660774,-1,0,0.0
153,2024-09-26 12:45:00,-3.6057125847708824,98130.31276675191,-1869.6872332481078,-9.813031276675192,1,1,-90.14281461927206
154,2024-09-26 12:50:00,-1.9813228779352243,98080.77969480354,-1919.2203051964884,-9.808077969480355,-1,0,-49.53307194838061
155,2024-09-26 12:55:00,-0.8470137046090931,98080.77969480354,-1919.2203051964884,-42.35068523045466,-1,0,0.0
156,2024-09-26 13:00:00,-0.7846462375584284,98061.16353886458,-1938.836461135449,-9.806116353886459,1,1,-19.61615593896071
