step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl,trade_fee
131,2024-09-26 10:55:00,0.0,98855.2204910349,-1144.7795089651086,6.070163147759077,1,1,0.0,0.0
132,2024-09-26 11:00:00,0.0,98855.2204910349,-1144.7795089651086,21.13942138923492,1,1,0.0,0.0
133,2024-09-26 11:05:00,12.137135158459095,98867.35762619335,-1132.6423738066494,-9.886735762619335,-1,0,12.137135158459095,19.77423523524635
134,2024-09-26 11:10:00,-56.999681114982124,98810.35794507837,-1189.6420549216316,-9.881035794507838,1,1,-56.999681114982124,19.77719377397277
135,2024-09-26 11:15:00,-52.518795624565456,98757.83914945381,-1242.160850546197,-9.875783914945382,-1,0,-52.518795624565456,19.75879558901212
136,2024-09-26 11:20:00,28.940857201354458,98786.78000665516,-1213.2199933448426,-9.878678000665516,1,1,28.940857201354458,19.7466990742632
137,2024-09-26 11:25:00,-29.36901636639583,98786.78000665516,-1213.2199933448426,-29.36901636639583,1,1,0.0,0.0
138,2024-09-26 11:30:00,-11.784833092839776,98774.99517356232,-1225.0048264376824,-9.877499517356231,-1,0,-11.784833092839776,19.758153333355082
139,2024-09-26 11:35:00,-48.101746815654366,98726.89342674667,-1273.1065732533368,-9.872689342674667,1,1,-48.101746815654366,19.757833426051423
140,2024-09-26 11:40:00,-25.055219511038008,98701.83820723563,-1298.161792764375,-9.870183820723563,-1,0,-25.055219511038008,19.744847648163045
141,2024-09-26 11:45:00,-7.215528940754985,98701.83820723563,-1298.161792764375,-7.215528940754985,-1,0,0.0,0.0
142,2024-09-26 11:50:00,-54.999316780228675,98701.83820723563,-1298.161792764375,-54.999316780228675,-1,0,0.0,0.0
143,2024-09-26 11:55:00,-10.005659708093253,98691.83254752753,-1308.167452472468,-9.869183254752754,1,1,-10.005659708093253,19.739394267991138
144,2024-09-26 12:00:00,0.0,98691.83254752753,-1308.167452472468,19.331939967201954,1,1,0.0,0.0
145,2024-09-26 12:05:00,-11.775220206883816,98680.05732732065,-1319.942672679352,-9.868005732732067,-1,0,-11.775220206883816,19.739162903775195
146,2024-09-26 12:10:00,-6.3291835226757875,98680.05732732065,-1319.942672679352,-6.3291835226757875,-1,0,0.0,0.0
147,2024-09-26 12:15:00,-63.090918595826494,98616.96640872482,-1383.0335912751784,-9.861696640872482,1,1,-63.090918595826494,19.740346522671448
148,2024-09-26 12:20:00,0.6008627683806047,98617.5672714932,-1382.4327285067977,-9.86175672714932,-1,0,0.6008627683806047,19.725425910612863
149,2024-09-26 12:25:00,-42.69875943800119,98574.8685120552,-1425.131487944799,-9.85748685120552,1,1,-42.69875943800119,19.725810749167522
150,2024-09-26 12:30:00,-146.72042437577574,98574.8685120552,-1425.131487944799,-146.72042437577574,1,1,0.0,0.0
151,2024-09-26 12:35:00,-168.9248024637573,98405.94370959143,-1594.0562904085562,-9.840594370959144,-1,0,-168.9248024637573,19.700051227287393
152,2024-09-26 12:40:00,0.0,98405.94370959143,-1594.0562904085562,61.66701259130556,-1,0,0.0,0.0
153,2024-09-26 12:45:00,-80.46539137074053,98405.94370959143,-1594.0562904085562,-80.46539137074053,-1,0,0.0,0.0
154,2024-09-26 12:50:00,-50.44985264583786,98405.94370959143,-1594.0562904085562,-50.44985264583786,-1,0,0.0,0.0
155,2024-09-26 12:55:00,-92.96174295187753,98312.98196663955,-1687.0180333604337,-9.831298196663955,1,1,-92.96174295187753,19.688516064607015
156,2024-09-26 13:00:00,-52.26816666308734,98260.71379997647,-1739.2862000235211,-9.826071379997648,-1,0,-52.26816666308734,19.65933551021262
157,2024-09-26 13:05:00,0.0,98260.71379997647,-1739.2862000235211,53.616258294026785,-1,0,0.0,0.0
158,2024-09-26 13:10:00,0.0,98260.71379997647,-1739.2862000235211,35.99338894013437,-1,0,0.0,0.0
159,2024-09-26 13:15:00,45.55899431109106,98306.27279428756,-1693.72720571243,-9.830627279428757,1,1,45.55899431109106,19.645622298334352
160,2024-09-26 13:20:00,-76.99445096640711,98229.27834332116,-1770.7216566788372,-9.822927834332116,-1,0,-76.99445096640711,19.655520665827456
161,2024-09-26 13:25:00,-91.97388239105497,98137.3044609301,-1862.6955390698922,-9.813730446093011,1,1,-91.97388239105497,19.653087748128527
162,2024-09-26 13:30:00,66.65162263335208,98203.95608356345,-1796.0439164365403,-9.820395608356344,-1,0,66.65162263335208,19.636089663415696
163,2024-09-26 13:35:00,-27.42661241131676,98203.95608356345,-1796.0439164365403,-27.42661241131676,-1,0,0.0,0.0
164,2024-09-26 13:40:00,0.0,98203.95608356345,-1796.0439164365403,79.9713100867535,-1,0,0.0,0.0
165,2024-09-26 13:45:00,84.2462755886949,98288.20235915214,-1711.7976408478453,-9.828820235915215,1,1,84.2462755886949,19.630403548798938
166,2024-09-26 13:50:00,-54.81076822777492,98288.20235915214,-1711.7976408478453,-54.81076822777492,1,1,0.0,0.0
167,2024-09-26 13:55:00,-47.87878544252355,98240.32357370963,-1759.676426290369,-9.824032357370964,-1,0,-47.87878544252355,19.654818075093687
168,2024-09-26 14:00:00,-10.705854912459307,98240.32357370963,-1759.676426290369,-10.705854912459307,-1,0,0.0,0.0
169,2024-09-26 14:05:00,83.53549155611398,98323.85906526574,-1676.1409347342549,-9.832385906526575,1,1,83.53549155611398,19.63774739084723
170,2024-09-26 00:00:00,-20.0,99980.0,-20.0,-9.998,-1,0,-20.0,20.0
171,2024-09-26 00:05:00,-43.2363305629167,99980.0,-20.0,-43.2363305629167,-1,0,0.0,0.0
172,2024-09-26 00:10:00,-59.526616038455984,99920.47338396155,-79.52661603845598,-9.992047338396155,1,1,-59.526616038455984,19.99995266633721
173,2024-09-26 00:15:00,-7.299716527524585,99920.47338396155,-79.52661603845598,-7.299716527524585,1,1,0.0,0.0
174,2024-09-26 00:20:00,-7.421140647110034,99913.05224331444,-86.94775668556602,-9.991305224331445,-1,0,-7.421140647110034,19.985351097837384
175,2024-09-26 00:25:00,-20.879964301268505,99892.17227901316,-107.82772098683452,-9.989217227901317,1,1,-20.879964301268505,19.982700175075507
176,2024-09-26 00:30:00,-6.40094299333002,99892.17227901316,-107.82772098683452,-6.40094299333002,1,1,0.0,0.0
177,2024-09-26 00:35:00,-2.812668758758722,99892.17227901316,-107.82772098683452,-2.812668758758722,1,1,0.0,0.0
178,2024-09-26 00:40:00,-32.536138380810115,99859.63614063236,-140.36385936764464,-9.985963614063236,-1,0,-32.536138380810115,19.977178559820537
179,2024-09-26 00:45:00,-30.735673098902076,99828.90046753346,-171.09953246654672,-9.982890046753347,1,1,-30.735673098902076,19.973003495086854
180,2024-09-26 00:50:00,-9.982890046753347,99828.90046753346,-171.09953246654672,-9.982890046753347,1,1,0.0,0.0
181,2024-09-26 00:55:00,-17.276499678855807,99811.6239678546,-188.37603214540252,-9.98116239678546,-1,0,-17.276499678855807,19.96604904844365
182,2024-09-26 01:00:00,-23.42621973158449,99811.6239678546,-188.37603214540252,-23.42621973158449,-1,0,0.0,0.0
183,2024-09-26 01:05:00,-11.773836708085364,99811.6239678546,-188.37603214540252,-11.773836708085364,-1,0,0.0,0.0
184,2024-09-26 01:10:00,-16.255522486364974,99811.6239678546,-188.37603214540252,-16.255522486364974,-1,0,0.0,0.0
185,2024-09-26 01:15:00,-17.151859642004975,99811.6239678546,-188.37603214540252,-17.151859642004975,-1,0,0.0,0.0
186,2024-09-26 01:20:00,0.0,99811.6239678546,-188.37603214540252,3.463894938033471,-1,0,0.0,0.0
187,2024-09-26 01:25:00,-3.7068023072059457,99811.6239678546,-188.37603214540252,-3.7068023072059457,-1,0,0.0,0.0
188,2024-09-26 01:30:00,6.930478887514003,99818.55444674211,-181.44555325788852,-9.981855444674212,1,1,6.930478887514003,19.95963578210396
189,2024-09-26 01:35:00,0.0,99818.55444674211,-181.44555325788852,8.847604635090457,1,1,0.0,0.0
190,2024-09-26 01:40:00,14.105238209843627,99832.65968495196,-167.34031504804489,-9.983265968495196,-1,0,14.105238209843627,19.96711812498191
191,2024-09-26 01:45:00,-23.552737155995636,99809.10694779595,-190.89305220404052,-9.980910694779594,1,1,-23.552737155995636,19.966890521653823
192,2024-09-26 01:50:00,-2.811166914457181,99809.10694779595,-190.89305220404052,-2.811166914457181,1,1,0.0,0.0
193,2024-09-26 01:55:00,0.0,99809.10694779595,-190.89305220404052,7.943448756006537,1,1,0.0,0.0
194,2024-09-26 02:00:00,5.129772431226247,99814.23672022719,-185.76327977281426,-9.981423672022718,-1,0,5.129772431226247,19.964330799882298
195,2024-09-26 02:05:00,0.0,99814.23672022719,-185.76327977281426,0.7710413456325433,-1,0,0.0,0.0
196,2024-09-26 02:10:00,-11.897692145927666,99802.33902808126,-197.66097191874192,-9.980233902808127,1,1,-11.897692145927666,19.96204090916911
197,2024-09-26 02:15:00,-27.127785694347565,99775.21124238691,-224.7887576130895,-9.977521124238692,-1,0,-27.127785694347565,19.959751002147033
198,2024-09-26 02:20:00,-30.70601878927642,99744.50522359763,-255.49477640236591,-9.974450522359763,1,1,-30.70601878927642,19.956117238632444
199,2024-09-26 02:25:00,-7.4138132377050425,99737.09141035992,-262.90858964007094,-9.973709141035993,-1,0,-7.4138132377050425,19.95015467886364
200,2024-09-26 02:30:00,-16.240626306242486,99737.09141035992,-262.90858964007094,-16.240626306242486,-1,0,0.0,0.0
201,2024-09-26 02:35:00,-17.13590018699195,99737.09141035992,-262.90858964007094,-17.13590018699195,-1,0,0.0,0.0
202,2024-09-26 02:40:00,-5.497339737328429,99737.09141035992,-262.90858964007094,-5.497339737328429,-1,0,0.0,0.0
203,2024-09-26 02:45:00,-28.901052363387734,99708.19035799653,-291.8096420034587,-9.970819035799654,1,1,-28.901052363387734,19.94831355595273
204,2024-09-26 02:50:00,-34.13404035148558,99708.19035799653,-291.8096420034587,-34.13404035148558,1,1,0.0,0.0
205,2024-09-26 02:55:00,-27.995239736110804,99680.19511826042,-319.8048817395695,-9.968019511826043,-1,0,-27.995239736110804,19.940832630888785
206,2024-09-26 03:00:00,-21.599836185557216,99680.19511826042,-319.8048817395695,-21.599836185557216,-1,0,0.0,0.0
207,2024-09-26 03:05:00,-13.547040026824835,99680.19511826042,-319.8048817395695,-13.547040026824835,-1,0,0.0,0.0
208,2024-09-26 03:10:00,-45.886532547251804,99634.30858571317,-365.6914142868213,-9.963430858571318,1,1,-45.886532547251804,19.938633813525456
209,2024-09-26 03:15:00,0.0,99634.30858571317,-365.6914142868213,2.5541160319473803,1,1,0.0,0.0
